序号	提交答卷时间	所用时间	来源	来源详情	来自IP	1、您是否已经年满十八岁？	2、您近七天内手机使用总时长为：—小时：	2、分钟：	3、您近七天网购总次数为（所有网购平台）：	4、您近一月内网购次数为（所有网购平台）：
111	2022/6/21 23:04:34	70秒	微信	N/A	171.127.150.5(山西-吕梁)	1	15	20	0	1
112	2022/6/21 23:06:39	186秒	微信	N/A	114.249.62.151(北京-北京)	1	26	20	0	1
113	2022/6/21 23:09:33	100秒	微信	N/A	112.32.118.72(安徽-合肥)	1	5	38	3	8
114	2022/6/21 23:09:42	36秒	微信	N/A	120.245.118.105(北京-北京)	1	33	45	0	0
115	2022/6/21 23:11:10	42秒	微信	N/A	125.33.207.150(北京-北京)	1	30	27	5	7
116	2022/6/21 23:14:11	33秒	微信	N/A	123.112.67.103(北京-北京)	1	6	50	1	2
117	2022/6/21 23:32:50	101秒	微信	N/A	222.128.186.136(北京-北京)	1	54	23	10	33
118	2022/6/21 23:35:24	23秒	微信	N/A	112.95.88.164(广东-深圳)	1	3	0	1	3
119	2022/6/22 0:00:38	131秒	微信	N/A	111.194.189.85(北京-北京)	1	28	21	0	0
120	2022/6/22 0:02:44	50秒	微信	N/A	111.194.189.85(北京-北京)	1	28	21	0	0
121	2022/6/22 0:03:42	25秒	微信	N/A	111.194.189.85(北京-北京)	1	28	21	0	0
122	2022/6/22 0:08:29	157秒	微信	N/A	36.44.105.34(陕西-西安)	1	39	58	2	12
123	2022/6/22 0:44:39	237秒	微信	N/A	120.208.230.220(山西-吕梁)	1	10	15	0	10
124	2022/6/22 0:52:16	135秒	微信	N/A	223.72.83.181(北京-北京)	1	29	59	6	15
125	2022/6/22 1:13:12	31秒	微信	N/A	123.112.199.85(北京-北京)	2	13	21	0	0
126	2022/6/22 5:02:44	139秒	微信	N/A	124.127.147.37(北京-北京)	1	39	27	4	11
127	2022/6/22 5:26:52	59秒	微信	N/A	111.192.99.123(北京-北京)	1	20	15	3	10
128	2022/6/22 5:28:05	116秒	微信	N/A	101.40.239.4(北京-北京)	1	30	30	5	10
129	2022/6/22 6:12:15	77秒	微信	N/A	123.116.9.147(北京-北京)	1	12	14	1	4
130	2022/6/22 6:21:10	196秒	微信	N/A	111.194.48.197(北京-北京)	1	29	26	15	31
131	2022/6/22 6:25:05	82秒	微信	N/A	223.72.40.200(北京-北京)	1	25	5	3	10
132	2022/6/22 6:29:44	55秒	微信	N/A	124.64.125.52(北京-北京)	1	40	26	1	3
133	2022/6/22 6:42:28	47秒	微信	N/A	111.194.141.71(北京-北京)	1	21	28	3	5
134	2022/6/22 6:52:25	94秒	微信	N/A	223.104.40.42(北京-北京)	1	5	26	1	1
135	2022/6/22 7:05:39	104秒	微信	N/A	123.123.101.196(北京-北京)	1	21	24	5	26
136	2022/6/22 7:14:01	97秒	微信	N/A	124.64.23.101(北京-北京)	1	63	1	4	5
137	2022/6/22 7:50:19	96秒	微信	N/A	223.104.38.133(北京-北京)	1	23	17	9	18
138	2022/6/22 8:05:29	32秒	微信	N/A	125.33.206.55(北京-北京)	1	8	30	5	10
139	2022/6/22 8:46:39	104秒	微信	N/A	223.104.204.99(陕西-未知)	1	30	27	2	5
140	2022/6/22 8:50:34	93秒	微信	N/A	221.221.19.73(北京-北京)	1	35	30	2	5
141	2022/6/22 9:04:07	126秒	微信	N/A	218.26.55.164(山西-忻州)	1	29	10	0	0
142	2022/6/22 10:16:29	71秒	微信	N/A	117.136.0.209(北京-北京)	1	40	5	8	20
143	2022/6/22 10:19:24	232秒	微信	N/A	111.201.78.76(北京-北京)	1	21	37	2	8
144	2022/6/22 10:30:27	340秒	微信	N/A	220.207.95.247(北京-北京)	1	41	12	3	12
145	2022/6/22 10:47:06	66秒	微信	N/A	218.26.55.62(山西-忻州)	1	40	12	0	0
146	2022/6/22 10:52:24	147秒	微信	N/A	117.136.0.25(北京-北京)	1	24	4	3	7
147	2022/6/22 10:57:29	63秒	微信	N/A	114.249.26.129(北京-北京)	1	100	10	5	15
148	2022/6/22 11:43:13	132秒	微信	N/A	120.245.90.135(北京-北京)	1	18	28	1	5
149	2022/6/22 11:45:48	12秒	微信	N/A	120.244.143.8(北京-北京)	2	30	27	6	18
150	2022/6/22 11:46:03	12秒	微信	N/A	120.244.143.8(北京-北京)	2	15	58	3	8
151	2022/6/22 11:47:13	12秒	微信	N/A	120.244.143.8(北京-北京)	2	70	1	17	49
152	2022/6/22 11:47:30	15秒	微信	N/A	120.244.143.8(北京-北京)	2	26	13	7	28
153	2022/6/22 11:47:47	12秒	微信	N/A	120.244.143.8(北京-北京)	2	47	36	23	121
154	2022/6/22 11:48:12	9秒	微信	N/A	120.244.143.8(北京-北京)	2	10	34	2	5
155	2022/6/22 11:48:34	20秒	微信	N/A	120.244.143.8(北京-北京)	2	26	17	9	23
156	2022/6/22 11:49:58	7秒	微信	N/A	120.244.143.8(北京-北京)	2	28	2	5	12
157	2022/6/22 11:50:10	9秒	微信	N/A	120.244.143.8(北京-北京)	2	65	1	7	27
158	2022/6/22 11:50:22	8秒	微信	N/A	120.244.143.8(北京-北京)	2	37	37	19	84
159	2022/6/22 13:12:36	84秒	微信	N/A	123.117.35.66(北京-北京)	1	60	0	0	0
